Estacion_Origen,Estacion_Destino,Linea,Distancia
5 de Mayo,Vasco de Quiroga,5,700
Vasco de Quiroga,El Coyol,5,600
El Coyol,Preparatoria 3,5,550
Preparatoria 3,San Juan de Aragón,5,750
San Juan de Aragón,Río de Guadalupe,5,650
Río de Guadalupe,Talismán,5,500
Talismán,Victoria,5,550
Victoria,Oriente 101,5,600
Oriente 101,Hospital General La Villa,5,850
Hospital General La Villa,Martín Carrera,5,700
Martín Carrera,Delegación Gustavo A. Madero,5,650
Delegación Gustavo A. Madero,Misterios,5,800
Misterios,Canal del Norte,5,950
Canal del Norte,Deportivo Eduardo Molina,5,750
Deportivo Eduardo Molina,Mercado Morelos,5,600
Mercado Morelos,Archivo General de la Nación,5,650
Archivo General de la Nación,San Lázaro,5,500
El Rosario,Colegio de Bachilleres 1,6,700
Colegio de Bachilleres 1,De las Culturas,6,650
De las Culturas,Ferrocarriles Nacionales,6,800
Ferrocarriles Nacionales,UAM Azcapotzalco,6,600
UAM Azcapotzalco,Tecnoparque,6,550
Tecnoparque,Norte 59,6,750
Norte 59,Norte 45,6,650
Norte 45,Vallejo,6,500
Vallejo,Poniente 146,6,850
Poniente 146,Poniente 134,6,450
Poniente 134,Instituto del Petróleo,6,700
Instituto del Petróleo,San Bartolo,6,600
San Bartolo,Instituto Politécnico Nacional,6,650
Instituto Politécnico Nacional,Riobamba,6,550
Riobamba,Deportivo 18 de Marzo,6,800
Deportivo 18 de Marzo,La Villa,6,750
La Villa,Hospital Infantil La Villa,6,500
Hospital Infantil La Villa,De los Misterios,6,450
De los Misterios,Loreto Fabela,6,900
Loreto Fabela,San Juan de Aragón,6,750
San Juan de Aragón,Gran Canal,6,650
Gran Canal,Pueblo San Juan de Aragón,6,600
Pueblo San Juan de Aragón,Deportivo Los Galeana,6,800
Deportivo Los Galeana,Ampliación Providencia,6,700
Ampliación Providencia,Volcán de Fuego,6,550
Volcán de Fuego,La Pradera,6,650
La Pradera,Colegio de Bachilleres 9,6,500
Colegio de Bachilleres 9,Villa de Aragón,6,800
Indios Verdes,Hospital Infantil La Villa,7,900
Hospital Infantil La Villa,De los Misterios,7,450
De los Misterios,Garrido,7,550
Garrido,Delegación Gustavo A. Madero,7,400
Delegación Gustavo A. Madero,La Villa,7,500
La Villa,Necaxa,7,650
Necaxa,Excélsior,7,450
Excélsior,Robles Domínguez,7,550
Robles Domínguez,Clave,7,600
Clave,Misterios,7,500
Misterios,Mercado Beethoven,7,700
Mercado Beethoven,Peralvillo,7,450
Peralvillo,Tres Culturas,7,600
Tres Culturas,Glorieta Cuitláhuac,7,550
Glorieta Cuitláhuac,Garibaldi,7,750
Garibaldi,Glorieta de Simón Bolívar,7,600
Glorieta de Simón Bolívar,Hidalgo,7,500
Hidalgo,El Caballito,7,450
El Caballito,Glorieta de Colón,7,550
Glorieta de Colón,París,7,400
París,Reforma,7,450
Reforma,Hamburgo,7,500
Hamburgo,El Ángel,7,650
El Ángel,La Diana,7,550
La Diana,Chapultepec,7,700
Chapultepec,Gandhi,7,600
Gandhi,Antropología,7,550
Antropología,Auditorio,7,800
Auditorio,Campo Marte,7,650
